X,Y,OBJECTID,TYPE,INFM,INFR_2,INFR_3,icon_url
18.377387289052,-33.9221332264278,"1",Interpretation,The Sea Point Contact,,,./0.png
18.3861446190275,-33.9173046972515,"2",Pedestrian,Pavilion,Beachfront,Three Anchor Bay,./0.png
18.3864487568646,-33.9162802578961,"3",Pedestrian,Pavilion,Beachfront,Three Anchor Bay,./0.png
18.3863855269153,-33.9160123904359,"4",Interpretation,African Penguins,,,./0.png
18.3873297620272,-33.9142176454404,"5",Pedestrian,Pavilion,Beachfront,Three Anchor Bay,./0.png
18.3870879211593,-33.9142948973246,"6",Interpretation,Bird Islands,Coastal Birds,,./0.png
18.3884347333413,-33.9123614097687,"7",Pedestrian,Pavilion,Beachfront,Three Anchor Bay,./0.png
18.3899906343121,-33.9107128367664,"8",Pedestrian,Beachfront,Three Anchor Bay,Pavilion,./0.png
18.3901546959834,-33.9105932496362,"9",Interpretation,Sea Point Railway :Hall Road Station,,,./0.png
18.3928592579326,-33.9088731003308,"10",Interpretation,Kelp Forests,Rocky Shores,,./0.png
18.3939854422703,-33.9084619864261,"11",Pedestrian,Three Anchor Bay,Beachfront,Rocklands,./0.png
18.397312049144,-33.9064318815568,"12",Interpretation,Of Whales and Men,Great Ocean Explorers,,./0.png
18.3976740497385,-33.9065203023318,"13",City Map,Cape Town: Find Your Way,,,./0.png
18.3975409071687,-33.9065878652494,"14",Interpretation,Sea Point Railway: Three Anchor Bay,,,./0.png
18.3982611138993,-33.9063609321165,"15",Pedestrian,Lighthouse,Granger Bay,Sea Point,./0.png
18.3985710437669,-33.9037887406158,"16",Pedestrian,Granger Bay,Light House,Sea Point,./0.png
18.4003231235122,-33.901336618394,"17",Pedestrian,Granger Bay,Waterfront,Light House,./0.png
18.3988869275457,-33.9015968735886,"18",Interpretation,Lighthouses,,,./0.png
18.398423546088,-33.9010272951376,"19",Interpretation,De Visch Shipwreck 1740,,,./0.png
18.4027146022988,-33.9006465539552,"20",Pedestrian,Granger Bay,Waterfront,Light House,./0.png
18.4053891635936,-33.899885030089,"21",Pedestrian,Waterfront,Light House,Sea Point,./0.png
18.4079353918752,-33.8995784767551,"22",Interpretation,The Great Gale RMSAthens Shipwrecked 16th of May 1865,,,./0.png
18.4081654636323,-33.899560573539,"23",Pedestrian,Waterfront,Granger Bay,Beachfront,./0.png
18.4063648146728,-33.9073089898573,"24",Interpretation,Green Point Common - War Time,,,./0.png
18.4063896080972,-33.9073865530705,"25",Interpretation,Green Point Common,,,./0.png
18.406373777786,-33.9074369325705,"26",Pedestrian,Cape Town Staduim,City,Sea Point,./0.png
